file,aHPC,Caudate,NAcc,VTASN
ISC_sub-control007sub-experimental050_task-magictrickwatching_z.nii.gz,0.010842,0.0272405,0.000571156,0.0308973
ISC_sub-control009sub-control011_task-magictrickwatching_z.nii.gz,0.000844118,0.0360389,-0.0229278,-0.00622008
ISC_sub-control009sub-control013_task-magictrickwatching_z.nii.gz,0.00431924,0.0281744,0.0261104,0.0304106
ISC_sub-control009sub-control015_task-magictrickwatching_z.nii.gz,-0.000262706,0.0237751,-0.00767364,0.0104673
ISC_sub-control009sub-control017_task-magictrickwatching_z.nii.gz,0.00899758,0.0266152,0.00902804,-0.0021706
ISC_sub-control009sub-control019_task-magictrickwatching_z.nii.gz,-0.0032113,0.0121623,0.00773357,0.0236535
ISC_sub-control009sub-control021_task-magictrickwatching_z.nii.gz,0.012482,0.0325478,0.0309113,0.00756928
ISC_sub-control009sub-control023_task-magictrickwatching_z.nii.gz,0.00812756,0.00456708,0.00383356,-0.00592645
ISC_sub-control009sub-control025_task-magictrickwatching_z.nii.gz,-0.0028129,0.0434646,0.0597565,0.00666798
ISC_sub-control009sub-control027_task-magictrickwatching_z.nii.gz,0.01022,0.0552186,0.0333478,0.0241081
ISC_sub-control009sub-control029_task-magictrickwatching_z.nii.gz,-0.00473697,0.0230686,0.0260532,0.0154769
ISC_sub-control009sub-control031_task-magictrickwatching_z.nii.gz,-0.0019184,0.00815732,0.00498556,-0.00634657
ISC_sub-control009sub-control033_task-magictrickwatching_z.nii.gz,0.00685713,0.0326943,0.027112,0.0546077
ISC_sub-control009sub-control035_task-magictrickwatching_z.nii.gz,-0.00346645,0.00557685,0.00230879,0.0154324
ISC_sub-control009sub-control037_task-magictrickwatching_z.nii.gz,0.00120672,0.000600546,0.0134572,0.0133606
ISC_sub-control009sub-control039_task-magictrickwatching_z.nii.gz,0.0194693,0.0360392,0.0154379,0.00542371
ISC_sub-control009sub-control041_task-magictrickwatching_z.nii.gz,0.00859958,0.0189961,0.0421433,-0.0195683
ISC_sub-control009sub-control043_task-magictrickwatching_z.nii.gz,0.0186932,0.0231391,0.0351575,-0.000865013
ISC_sub-control009sub-control045_task-magictrickwatching_z.nii.gz,0.00478547,0.0262381,-0.000101789,0.0124494
ISC_sub-control009sub-control047_task-magictrickwatching_z.nii.gz,0.000957607,0.0131678,0.0152094,0.0131663
ISC_sub-control009sub-control049_task-magictrickwatching_z.nii.gz,0.0170551,0.0350383,0.00423318,-0.0111495
ISC_sub-control009sub-experimental004_task-magictrickwatching_z.nii.gz,-0.0103463,0.0190688,0.00235191,-0.0127564
ISC_sub-control009sub-experimental005_task-magictrickwatching_z.nii.gz,0.0123307,0.0357233,0.0393398,-0.0230636
ISC_sub-control009sub-experimental006_task-magictrickwatching_z.nii.gz,0.00323621,0.0369817,0.0171024,0.000424455
ISC_sub-control009sub-experimental008_task-magictrickwatching_z.nii.gz,-0.0106133,0.0423274,0.0318563,0.0109187
ISC_sub-control009sub-experimental010_task-magictrickwatching_z.nii.gz,-0.00477288,0.0103041,0.0347221,0.00430931
ISC_sub-control009sub-experimental012_task-magictrickwatching_z.nii.gz,-0.00178902,0.0344641,0.0523283,0.0263844
ISC_sub-control009sub-experimental014_task-magictrickwatching_z.nii.gz,0.0167589,0.0252524,0.0297222,-0.00758449
ISC_sub-control009sub-experimental016_task-magictrickwatching_z.nii.gz,0.0120392,0.02293,0.00699825,-0.00309957
ISC_sub-control009sub-experimental018_task-magictrickwatching_z.nii.gz,0.00437511,0.00443669,-0.0030009,0.0151928
ISC_sub-control009sub-experimental020_task-magictrickwatching_z.nii.gz,-0.00158154,0.0536352,0.0194342,0.0221905
ISC_sub-control009sub-experimental022_task-magictrickwatching_z.nii.gz,0.00490146,0.0416881,0.0282097,0.0151028
ISC_sub-control009sub-experimental024_task-magictrickwatching_z.nii.gz,-0.0015692,0.0374279,0.0287618,-0.00397039
ISC_sub-control009sub-experimental026_task-magictrickwatching_z.nii.gz,0.00480739,0.0177841,0.0016467,0.0249939
ISC_sub-control009sub-experimental028_task-magictrickwatching_z.nii.gz,-0.00798349,0.0330975,-0.00792331,0.0011674
ISC_sub-control009sub-experimental030_task-magictrickwatching_z.nii.gz,0.0230271,0.0511081,0.0566782,0.00926677
ISC_sub-control009sub-experimental032_task-magictrickwatching_z.nii.gz,0.0195739,0.0244629,0.00431901,0.0112193
ISC_sub-control009sub-experimental034_task-magictrickwatching_z.nii.gz,0.00715605,0.022136,-0.000864043,0.0259468
ISC_sub-control009sub-experimental036_task-magictrickwatching_z.nii.gz,-0.00292758,0.0401473,0.0424224,0.00669162
ISC_sub-control009sub-experimental038_task-magictrickwatching_z.nii.gz,0.00571549,0.0450478,0.025067,-0.00197363
ISC_sub-control009sub-experimental040_task-magictrickwatching_z.nii.gz,-0.00720589,0.0353386,0.0153224,0.0137206
ISC_sub-control009sub-experimental042_task-magictrickwatching_z.nii.gz,0.0077516,0.0269984,0.0217787,0.0157732
ISC_sub-control009sub-experimental044_task-magictrickwatching_z.nii.gz,0.00638394,0.0592487,0.0269187,0.00867895
ISC_sub-control009sub-experimental046_task-magictrickwatching_z.nii.gz,0.0138178,0.0293463,0.0146683,0.00390208
ISC_sub-control009sub-experimental048_task-magictrickwatching_z.nii.gz,0.00325526,0.0288343,0.0115436,0.0209949
ISC_sub-control009sub-experimental050_task-magictrickwatching_z.nii.gz,-0.0161597,0.044021,0.0224248,0.0146141
